ActivityHour,StepTotal
7/5/2023 12:00:00 AM,0
7/5/2023 1:00:00 AM,0
7/5/2023 2:00:00 AM,0
7/5/2023 3:00:00 AM,0
7/5/2023 4:00:00 AM,0
7/5/2023 5:00:00 AM,0
7/5/2023 6:00:00 AM,0
7/5/2023 7:00:00 AM,0
7/5/2023 8:00:00 AM,0
7/5/2023 9:00:00 AM,0
7/5/2023 10:00:00 AM,0
7/5/2023 11:00:00 AM,1436
7/5/2023 12:00:00 PM,311
7/5/2023 1:00:00 PM,107
7/5/2023 2:00:00 PM,272
7/5/2023 3:00:00 PM,433
7/5/2023 4:00:00 PM,59
7/5/2023 5:00:00 PM,238
7/5/2023 6:00:00 PM,274
7/5/2023 7:00:00 PM,780
7/5/2023 8:00:00 PM,391
7/5/2023 9:00:00 PM,582
7/5/2023 10:00:00 PM,322
7/5/2023 11:00:00 PM,614
7/6/2023 12:00:00 AM,20
7/6/2023 1:00:00 AM,65
7/6/2023 2:00:00 AM,0
7/6/2023 3:00:00 AM,11
7/6/2023 4:00:00 AM,190
7/6/2023 5:00:00 AM,308
7/6/2023 6:00:00 AM,738
7/6/2023 7:00:00 AM,266
7/6/2023 8:00:00 AM,131
7/6/2023 9:00:00 AM,137
7/6/2023 10:00:00 AM,0
7/6/2023 11:00:00 AM,491
7/6/2023 12:00:00 PM,291
7/6/2023 1:00:00 PM,658
7/6/2023 2:00:00 PM,206
7/6/2023 3:00:00 PM,341
7/6/2023 4:00:00 PM,309
7/6/2023 5:00:00 PM,389
7/6/2023 6:00:00 PM,445
7/6/2023 7:00:00 PM,1004
7/6/2023 8:00:00 PM,7
7/6/2023 9:00:00 PM,0
7/6/2023 10:00:00 PM,474
7/6/2023 11:00:00 PM,8
7/7/2023 12:00:00 AM,0
7/7/2023 1:00:00 AM,0
7/7/2023 2:00:00 AM,0
7/7/2023 3:00:00 AM,0
7/7/2023 4:00:00 AM,0
7/7/2023 5:00:00 AM,0
7/7/2023 6:00:00 AM,0
7/7/2023 7:00:00 AM,0
7/7/2023 8:00:00 AM,0
7/7/2023 9:00:00 AM,296
7/7/2023 10:00:00 AM,558
7/7/2023 11:00:00 AM,0
7/7/2023 12:00:00 PM,0
7/7/2023 1:00:00 PM,0
7/7/2023 2:00:00 PM,0
7/7/2023 3:00:00 PM,0
7/7/2023 4:00:00 PM,0
7/7/2023 5:00:00 PM,0
7/7/2023 6:00:00 PM,0
7/7/2023 7:00:00 PM,0
7/7/2023 8:00:00 PM,0
7/7/2023 9:00:00 PM,0
7/7/2023 10:00:00 PM,0
7/7/2023 11:00:00 PM,0
7/8/2023 12:00:00 AM,0
7/8/2023 1:00:00 AM,0
7/8/2023 2:00:00 AM,0
7/8/2023 3:00:00 AM,0
7/8/2023 4:00:00 AM,0
7/8/2023 5:00:00 AM,0
7/8/2023 6:00:00 AM,0
7/8/2023 7:00:00 AM,0
7/8/2023 8:00:00 AM,0
7/8/2023 9:00:00 AM,0
7/8/2023 10:00:00 AM,0
7/8/2023 11:00:00 AM,0
7/8/2023 12:00:00 PM,0
7/8/2023 1:00:00 PM,0
7/8/2023 2:00:00 PM,0
7/8/2023 3:00:00 PM,0
7/8/2023 4:00:00 PM,0
7/8/2023 5:00:00 PM,0
7/8/2023 6:00:00 PM,0
7/8/2023 7:00:00 PM,0
7/8/2023 8:00:00 PM,0
7/8/2023 9:00:00 PM,0
7/8/2023 10:00:00 PM,0
7/8/2023 11:00:00 PM,0
7/9/2023 12:00:00 AM,0
7/9/2023 1:00:00 AM,0
7/9/2023 2:00:00 AM,0
7/9/2023 3:00:00 AM,0
7/9/2023 4:00:00 AM,0
7/9/2023 5:00:00 AM,0
7/9/2023 6:00:00 AM,0
7/9/2023 7:00:00 AM,0
7/9/2023 8:00:00 AM,0
7/9/2023 9:00:00 AM,0
7/9/2023 10:00:00 AM,132
7/9/2023 11:00:00 AM,112
7/9/2023 12:00:00 PM,827
7/9/2023 1:00:00 PM,92
7/9/2023 2:00:00 PM,231
7/9/2023 3:00:00 PM,310
7/9/2023 4:00:00 PM,287
7/9/2023 5:00:00 PM,324
7/9/2023 6:00:00 PM,34
7/9/2023 7:00:00 PM,39
7/9/2023 8:00:00 PM,0
7/9/2023 9:00:00 PM,0
7/9/2023 10:00:00 PM,0
7/9/2023 11:00:00 PM,0
7/10/2023 12:00:00 AM,0
7/10/2023 1:00:00 AM,0
7/10/2023 2:00:00 AM,0
7/10/2023 3:00:00 AM,0
7/10/2023 4:00:00 AM,0
7/10/2023 5:00:00 AM,0
7/10/2023 6:00:00 AM,0
7/10/2023 7:00:00 AM,186
7/10/2023 8:00:00 AM,637
7/10/2023 9:00:00 AM,312
7/10/2023 10:00:00 AM,425
7/10/2023 11:00:00 AM,353
7/10/2023 12:00:00 PM,322
7/10/2023 1:00:00 PM,678
7/10/2023 2:00:00 PM,5
7/10/2023 3:00:00 PM,593
7/10/2023 4:00:00 PM,667
7/10/2023 5:00:00 PM,920
7/10/2023 6:00:00 PM,297
7/10/2023 7:00:00 PM,326
7/10/2023 8:00:00 PM,40
7/10/2023 9:00:00 PM,57
7/10/2023 10:00:00 PM,331
7/10/2023 11:00:00 PM,92
7/11/2023 12:00:00 AM,0
7/11/2023 1:00:00 AM,0
7/11/2023 2:00:00 AM,0
7/11/2023 3:00:00 AM,0
7/11/2023 4:00:00 AM,0
7/11/2023 5:00:00 AM,0
7/11/2023 6:00:00 AM,0
7/11/2023 7:00:00 AM,716
7/11/2023 8:00:00 AM,576
7/11/2023 9:00:00 AM,41
7/11/2023 10:00:00 AM,345
7/11/2023 11:00:00 AM,327
7/11/2023 12:00:00 PM,720
7/11/2023 1:00:00 PM,905
7/11/2023 2:00:00 PM,602
7/11/2023 3:00:00 PM,190
7/11/2023 4:00:00 PM,0
7/11/2023 5:00:00 PM,0
7/11/2023 6:00:00 PM,0
7/11/2023 7:00:00 PM,0
7/11/2023 8:00:00 PM,0
7/11/2023 9:00:00 PM,0
7/11/2023 10:00:00 PM,0
7/11/2023 11:00:00 PM,0
7/12/2023 12:00:00 AM,0
7/12/2023 1:00:00 AM,0
7/12/2023 2:00:00 AM,0
7/12/2023 3:00:00 AM,0
7/12/2023 4:00:00 AM,0
7/12/2023 5:00:00 AM,0
7/12/2023 6:00:00 AM,0
7/12/2023 7:00:00 AM,0
7/12/2023 8:00:00 AM,0
7/12/2023 9:00:00 AM,0
7/12/2023 10:00:00 AM,0
7/12/2023 11:00:00 AM,0
7/12/2023 12:00:00 PM,0
7/12/2023 1:00:00 PM,0
7/12/2023 2:00:00 PM,0
7/12/2023 3:00:00 PM,0
7/12/2023 4:00:00 PM,0
7/12/2023 5:00:00 PM,0
7/12/2023 6:00:00 PM,0
7/12/2023 7:00:00 PM,87
7/12/2023 8:00:00 PM,440
7/12/2023 9:00:00 PM,5
7/12/2023 10:00:00 PM,4
7/12/2023 11:00:00 PM,0
7/13/2023 12:00:00 AM,0
7/13/2023 1:00:00 AM,0
7/13/2023 2:00:00 AM,0
7/13/2023 3:00:00 AM,0
7/13/2023 4:00:00 AM,0
7/13/2023 5:00:00 AM,0
7/13/2023 6:00:00 AM,0
7/13/2023 7:00:00 AM,0
7/13/2023 8:00:00 AM,0
7/13/2023 9:00:00 AM,0
7/13/2023 10:00:00 AM,0
7/13/2023 11:00:00 AM,39
7/13/2023 12:00:00 PM,290
7/13/2023 1:00:00 PM,655
7/13/2023 2:00:00 PM,450
7/13/2023 3:00:00 PM,336
7/13/2023 4:00:00 PM,701
7/13/2023 5:00:00 PM,0
7/13/2023 6:00:00 PM,685
7/13/2023 7:00:00 PM,1021
7/13/2023 8:00:00 PM,345
7/13/2023 9:00:00 PM,0
7/13/2023 10:00:00 PM,0
7/13/2023 11:00:00 PM,0
7/14/2023 12:00:00 AM,0
7/14/2023 1:00:00 AM,0
7/14/2023 2:00:00 AM,0
7/14/2023 3:00:00 AM,0
7/14/2023 4:00:00 AM,0
7/14/2023 5:00:00 AM,0
7/14/2023 6:00:00 AM,0
7/14/2023 7:00:00 AM,318
7/14/2023 8:00:00 AM,317
7/14/2023 9:00:00 AM,626
7/14/2023 10:00:00 AM,367
7/14/2023 11:00:00 AM,109
7/14/2023 12:00:00 PM,274
7/14/2023 1:00:00 PM,0
7/14/2023 2:00:00 PM,131
7/14/2023 3:00:00 PM,498
7/14/2023 4:00:00 PM,234
7/14/2023 5:00:00 PM,0
7/14/2023 6:00:00 PM,0
7/14/2023 7:00:00 PM,379
7/14/2023 8:00:00 PM,15
7/14/2023 9:00:00 PM,0
7/14/2023 10:00:00 PM,0
7/14/2023 11:00:00 PM,0
7/15/2023 12:00:00 AM,0
7/15/2023 1:00:00 AM,0
7/15/2023 2:00:00 AM,0
7/15/2023 3:00:00 AM,0
7/15/2023 4:00:00 AM,0
7/15/2023 5:00:00 AM,0
7/15/2023 6:00:00 AM,0
7/15/2023 7:00:00 AM,0
7/15/2023 8:00:00 AM,0
7/15/2023 9:00:00 AM,198
7/15/2023 10:00:00 AM,21
7/15/2023 11:00:00 AM,18
7/15/2023 12:00:00 PM,58
7/15/2023 1:00:00 PM,280
7/15/2023 2:00:00 PM,17
7/15/2023 3:00:00 PM,0
7/15/2023 4:00:00 PM,220
7/15/2023 5:00:00 PM,0
7/15/2023 6:00:00 PM,0
7/15/2023 7:00:00 PM,124
7/15/2023 8:00:00 PM,12
7/15/2023 9:00:00 PM,0
7/15/2023 10:00:00 PM,0
7/15/2023 11:00:00 PM,0
7/16/2023 12:00:00 AM,0
7/16/2023 1:00:00 AM,0
7/16/2023 2:00:00 AM,0
7/16/2023 3:00:00 AM,0
7/16/2023 4:00:00 AM,0
7/16/2023 5:00:00 AM,0
7/16/2023 6:00:00 AM,0
7/16/2023 7:00:00 AM,0
7/16/2023 8:00:00 AM,0
7/16/2023 9:00:00 AM,18
7/16/2023 10:00:00 AM,0
7/16/2023 11:00:00 AM,12
7/16/2023 12:00:00 PM,55
7/16/2023 1:00:00 PM,0
7/16/2023 2:00:00 PM,0
7/16/2023 3:00:00 PM,0
7/16/2023 4:00:00 PM,0
7/16/2023 5:00:00 PM,0
7/16/2023 6:00:00 PM,0
7/16/2023 7:00:00 PM,0
7/16/2023 8:00:00 PM,0
7/16/2023 9:00:00 PM,0
7/16/2023 10:00:00 PM,0
7/16/2023 11:00:00 PM,0
7/17/2023 12:00:00 AM,0
7/17/2023 1:00:00 AM,0
7/17/2023 2:00:00 AM,0
7/17/2023 3:00:00 AM,0
7/17/2023 4:00:00 AM,0
7/17/2023 5:00:00 AM,0
7/17/2023 6:00:00 AM,0
7/17/2023 7:00:00 AM,0
7/17/2023 8:00:00 AM,0
7/17/2023 9:00:00 AM,0
7/17/2023 10:00:00 AM,0
7/17/2023 11:00:00 AM,0
7/17/2023 12:00:00 PM,0
7/17/2023 1:00:00 PM,10
7/17/2023 2:00:00 PM,0
7/17/2023 3:00:00 PM,15
7/17/2023 4:00:00 PM,0
7/17/2023 5:00:00 PM,0
7/17/2023 6:00:00 PM,93
7/17/2023 7:00:00 PM,85
7/17/2023 8:00:00 PM,0
7/17/2023 9:00:00 PM,0
7/17/2023 10:00:00 PM,0
7/17/2023 11:00:00 PM,0
7/18/2023 12:00:00 AM,0
7/18/2023 1:00:00 AM,0
7/18/2023 2:00:00 AM,0
7/18/2023 3:00:00 AM,0
7/18/2023 4:00:00 AM,0
7/18/2023 5:00:00 AM,0
7/18/2023 6:00:00 AM,0
7/18/2023 7:00:00 AM,29
7/18/2023 8:00:00 AM,26
7/18/2023 9:00:00 AM,0
7/18/2023 10:00:00 AM,0
7/18/2023 11:00:00 AM,0
7/18/2023 12:00:00 PM,0
7/18/2023 1:00:00 PM,16
7/18/2023 2:00:00 PM,11
7/18/2023 3:00:00 PM,0
7/18/2023 4:00:00 PM,8
7/18/2023 5:00:00 PM,0
7/18/2023 6:00:00 PM,10
7/18/2023 7:00:00 PM,0
7/18/2023 8:00:00 PM,0
7/18/2023 9:00:00 PM,0
7/18/2023 10:00:00 PM,0
7/18/2023 11:00:00 PM,0
7/19/2023 12:00:00 AM,0
7/19/2023 1:00:00 AM,0
7/19/2023 2:00:00 AM,0
7/19/2023 3:00:00 AM,0
7/19/2023 4:00:00 AM,0
7/19/2023 5:00:00 AM,0
7/19/2023 6:00:00 AM,0
7/19/2023 7:00:00 AM,0
7/19/2023 8:00:00 AM,134
7/19/2023 9:00:00 AM,0
7/19/2023 10:00:00 AM,0
7/19/2023 11:00:00 AM,0
7/19/2023 12:00:00 PM,0
7/19/2023 1:00:00 PM,31
7/19/2023 2:00:00 PM,10
7/19/2023 3:00:00 PM,0
7/19/2023 4:00:00 PM,0
7/19/2023 5:00:00 PM,0
7/19/2023 6:00:00 PM,19
7/19/2023 7:00:00 PM,0
7/19/2023 8:00:00 PM,19
7/19/2023 9:00:00 PM,0
7/19/2023 10:00:00 PM,0
7/19/2023 11:00:00 PM,0
7/20/2023 12:00:00 AM,0
7/20/2023 1:00:00 AM,0
7/20/2023 2:00:00 AM,0
7/20/2023 3:00:00 AM,0
7/20/2023 4:00:00 AM,0
7/20/2023 5:00:00 AM,0
7/20/2023 6:00:00 AM,0
7/20/2023 7:00:00 AM,0
7/20/2023 8:00:00 AM,116
7/20/2023 9:00:00 AM,0
7/20/2023 10:00:00 AM,0
7/20/2023 11:00:00 AM,8
7/20/2023 12:00:00 PM,0
7/20/2023 1:00:00 PM,0
7/20/2023 2:00:00 PM,24
7/20/2023 3:00:00 PM,0
7/20/2023 4:00:00 PM,0
7/20/2023 5:00:00 PM,0
7/20/2023 6:00:00 PM,30
7/20/2023 7:00:00 PM,6
7/20/2023 8:00:00 PM,19
7/20/2023 9:00:00 PM,0
7/20/2023 10:00:00 PM,0
7/20/2023 11:00:00 PM,0
7/21/2023 12:00:00 AM,0
7/21/2023 1:00:00 AM,0
7/21/2023 2:00:00 AM,0
7/21/2023 3:00:00 AM,0
7/21/2023 4:00:00 AM,0
7/21/2023 5:00:00 AM,0
7/21/2023 6:00:00 AM,0
7/21/2023 7:00:00 AM,4
7/21/2023 8:00:00 AM,7
7/21/2023 9:00:00 AM,0
7/21/2023 10:00:00 AM,0
7/21/2023 11:00:00 AM,8
7/21/2023 12:00:00 PM,13
7/21/2023 1:00:00 PM,4
7/21/2023 2:00:00 PM,0
7/21/2023 3:00:00 PM,7
7/21/2023 4:00:00 PM,0
7/21/2023 5:00:00 PM,0
7/21/2023 6:00:00 PM,19
7/21/2023 7:00:00 PM,0
7/21/2023 8:00:00 PM,21
7/21/2023 9:00:00 PM,115
7/21/2023 10:00:00 PM,0
7/21/2023 11:00:00 PM,0
7/22/2023 12:00:00 AM,0
7/22/2023 1:00:00 AM,0
7/22/2023 2:00:00 AM,0
7/22/2023 3:00:00 AM,0
7/22/2023 4:00:00 AM,0
7/22/2023 5:00:00 AM,0
7/22/2023 6:00:00 AM,0
7/22/2023 7:00:00 AM,0
7/22/2023 8:00:00 AM,0
7/22/2023 9:00:00 AM,0
7/22/2023 10:00:00 AM,0
7/22/2023 11:00:00 AM,38
7/22/2023 12:00:00 PM,13
7/22/2023 1:00:00 PM,0
7/22/2023 2:00:00 PM,0
7/22/2023 3:00:00 PM,0
7/22/2023 4:00:00 PM,0
7/22/2023 5:00:00 PM,0
7/22/2023 6:00:00 PM,31
7/22/2023 7:00:00 PM,27
7/22/2023 8:00:00 PM,0
7/22/2023 9:00:00 PM,0
7/22/2023 10:00:00 PM,0
7/22/2023 11:00:00 PM,0
7/23/2023 12:00:00 AM,0
7/23/2023 1:00:00 AM,0
7/23/2023 2:00:00 AM,0
7/23/2023 3:00:00 AM,0
7/23/2023 4:00:00 AM,0
7/23/2023 5:00:00 AM,0
7/23/2023 6:00:00 AM,0
7/23/2023 7:00:00 AM,0
7/23/2023 8:00:00 AM,0
7/23/2023 9:00:00 AM,0
7/23/2023 10:00:00 AM,0
7/23/2023 11:00:00 AM,0
7/23/2023 12:00:00 PM,0
7/23/2023 1:00:00 PM,0
7/23/2023 2:00:00 PM,0
7/23/2023 3:00:00 PM,0
7/23/2023 4:00:00 PM,0
7/23/2023 5:00:00 PM,84
7/23/2023 6:00:00 PM,482
7/23/2023 7:00:00 PM,0
7/23/2023 8:00:00 PM,315
7/23/2023 9:00:00 PM,150
7/23/2023 10:00:00 PM,0
7/23/2023 11:00:00 PM,0
7/24/2023 12:00:00 AM,0
7/24/2023 1:00:00 AM,0
7/24/2023 2:00:00 AM,0
7/24/2023 3:00:00 AM,0
7/24/2023 4:00:00 AM,0
7/24/2023 5:00:00 AM,0
7/24/2023 6:00:00 AM,0
7/24/2023 7:00:00 AM,0
7/24/2023 8:00:00 AM,677
7/24/2023 9:00:00 AM,177
7/24/2023 10:00:00 AM,205
7/24/2023 11:00:00 AM,227
7/24/2023 12:00:00 PM,8
7/24/2023 1:00:00 PM,385
7/24/2023 2:00:00 PM,674
7/24/2023 3:00:00 PM,671
7/24/2023 4:00:00 PM,82
7/24/2023 5:00:00 PM,685
7/24/2023 6:00:00 PM,198
7/24/2023 7:00:00 PM,501
7/24/2023 8:00:00 PM,0
7/24/2023 9:00:00 PM,65
7/24/2023 10:00:00 PM,4
7/24/2023 11:00:00 PM,32
7/25/2023 12:00:00 AM,205
7/25/2023 1:00:00 AM,0
7/25/2023 2:00:00 AM,0
7/25/2023 3:00:00 AM,0
7/25/2023 4:00:00 AM,0
7/25/2023 5:00:00 AM,0
7/25/2023 6:00:00 AM,8
7/25/2023 7:00:00 AM,360
7/25/2023 8:00:00 AM,379
7/25/2023 9:00:00 AM,497
7/25/2023 10:00:00 AM,321
7/25/2023 11:00:00 AM,228
7/25/2023 12:00:00 PM,348
7/25/2023 1:00:00 PM,843
7/25/2023 2:00:00 PM,661
7/25/2023 3:00:00 PM,584
7/25/2023 4:00:00 PM,356
7/25/2023 5:00:00 PM,482
7/25/2023 6:00:00 PM,846
7/25/2023 7:00:00 PM,485
7/25/2023 8:00:00 PM,0
7/25/2023 9:00:00 PM,0
7/25/2023 10:00:00 PM,0
7/25/2023 11:00:00 PM,0
7/26/2023 12:00:00 AM,0
7/26/2023 1:00:00 AM,0
7/26/2023 2:00:00 AM,0
7/26/2023 3:00:00 AM,0
7/26/2023 4:00:00 AM,0
7/26/2023 5:00:00 AM,0
7/26/2023 6:00:00 AM,0
7/26/2023 7:00:00 AM,79
7/26/2023 8:00:00 AM,1066
7/26/2023 9:00:00 AM,522
7/26/2023 10:00:00 AM,1002
7/26/2023 11:00:00 AM,817
7/26/2023 12:00:00 PM,106
7/26/2023 1:00:00 PM,717
7/26/2023 2:00:00 PM,292
7/26/2023 3:00:00 PM,328
7/26/2023 4:00:00 PM,649
7/26/2023 5:00:00 PM,933
7/26/2023 6:00:00 PM,527
7/26/2023 7:00:00 PM,448
7/26/2023 8:00:00 PM,566
7/26/2023 9:00:00 PM,805
7/26/2023 10:00:00 PM,168
7/26/2023 11:00:00 PM,0
7/27/2023 12:00:00 AM,0
7/27/2023 1:00:00 AM,0
7/27/2023 2:00:00 AM,0
7/27/2023 3:00:00 AM,0
7/27/2023 4:00:00 AM,0
7/27/2023 5:00:00 AM,0
7/27/2023 6:00:00 AM,0
7/27/2023 7:00:00 AM,0
7/27/2023 8:00:00 AM,0
7/27/2023 9:00:00 AM,0
7/27/2023 10:00:00 AM,0
7/27/2023 11:00:00 AM,0
7/27/2023 12:00:00 PM,0
7/27/2023 1:00:00 PM,0
7/27/2023 2:00:00 PM,0
7/27/2023 3:00:00 PM,0
7/27/2023 4:00:00 PM,0
7/27/2023 5:00:00 PM,0
7/27/2023 6:00:00 PM,0
7/27/2023 7:00:00 PM,0
7/27/2023 8:00:00 PM,0
7/27/2023 9:00:00 PM,0
7/27/2023 10:00:00 PM,0
7/27/2023 11:00:00 PM,0
7/28/2023 12:00:00 AM,0
7/28/2023 1:00:00 AM,0
7/28/2023 2:00:00 AM,0
7/28/2023 3:00:00 AM,0
7/28/2023 4:00:00 AM,0
7/28/2023 5:00:00 AM,0
7/28/2023 6:00:00 AM,0
7/28/2023 7:00:00 AM,0
7/28/2023 8:00:00 AM,0
7/28/2023 9:00:00 AM,0
7/28/2023 10:00:00 AM,0
7/28/2023 11:00:00 AM,0
7/28/2023 12:00:00 PM,0
7/28/2023 1:00:00 PM,0
7/28/2023 2:00:00 PM,0
7/28/2023 3:00:00 PM,0
7/28/2023 4:00:00 PM,0
7/28/2023 5:00:00 PM,0
7/28/2023 6:00:00 PM,0
7/28/2023 7:00:00 PM,0
7/28/2023 8:00:00 PM,0
7/28/2023 9:00:00 PM,0
7/28/2023 10:00:00 PM,0
7/28/2023 11:00:00 PM,0
7/29/2023 12:00:00 AM,0
7/29/2023 1:00:00 AM,0
7/29/2023 2:00:00 AM,0
7/29/2023 3:00:00 AM,0
7/29/2023 4:00:00 AM,0
7/29/2023 5:00:00 AM,0
7/29/2023 6:00:00 AM,0
7/29/2023 7:00:00 AM,0
7/29/2023 8:00:00 AM,0
7/29/2023 9:00:00 AM,0
7/29/2023 10:00:00 AM,0
7/29/2023 11:00:00 AM,0
7/29/2023 12:00:00 PM,0
7/29/2023 1:00:00 PM,0
7/29/2023 2:00:00 PM,0
7/29/2023 3:00:00 PM,0
7/29/2023 4:00:00 PM,0
7/29/2023 5:00:00 PM,0
7/29/2023 6:00:00 PM,0
7/29/2023 7:00:00 PM,0
7/29/2023 8:00:00 PM,0
7/29/2023 9:00:00 PM,0
7/29/2023 10:00:00 PM,55
7/29/2023 11:00:00 PM,88
7/30/2023 12:00:00 AM,0
7/30/2023 1:00:00 AM,26
7/30/2023 2:00:00 AM,0
7/30/2023 3:00:00 AM,6
7/30/2023 4:00:00 AM,0
7/30/2023 5:00:00 AM,0
7/30/2023 6:00:00 AM,7
